protocol,attack_type,message_count,payload_size,checkpoint_interval,repeat_id,memory_supported,memory_recovered,memory_match,attack_detected,normal_recovery_success,secure_memory_recovery_success,fast_secure_memory_recovery_success,recovery_latency_ms,recovery_extra_messages,recovery_extra_bytes,replay_count,recovery_mode,throughput_score,detection_reason,recovery_reason
seq_mac,drop,100,128,50,1,False,False,False,True,True,False,False,1.55,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,100,128,50,2,False,False,False,True,True,False,False,1.6,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,100,128,50,3,False,False,False,True,True,False,False,1.65,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,100,128,100,1,False,False,False,True,True,False,False,1.55,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,100,128,100,2,False,False,False,True,True,False,False,1.6,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,100,128,100,3,False,False,False,True,True,False,False,1.65,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,100,128,500,1,False,False,False,True,True,False,False,1.55,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,100,128,500,2,False,False,False,True,True,False,False,1.6,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,100,128,500,3,False,False,False,True,True,False,False,1.65,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,100,512,50,1,False,False,False,True,True,False,False,1.55,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,100,512,50,2,False,False,False,True,True,False,False,1.6,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,100,512,50,3,False,False,False,True,True,False,False,1.65,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,100,512,100,1,False,False,False,True,True,False,False,1.55,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,100,512,100,2,False,False,False,True,True,False,False,1.6,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,100,512,100,3,False,False,False,True,True,False,False,1.65,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,100,512,500,1,False,False,False,True,True,False,False,1.55,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,100,512,500,2,False,False,False,True,True,False,False,1.6,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,100,512,500,3,False,False,False,True,True,False,False,1.65,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,500,128,50,1,False,False,False,True,True,False,False,1.55,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,500,128,50,2,False,False,False,True,True,False,False,1.6,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,500,128,50,3,False,False,False,True,True,False,False,1.65,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,500,128,100,1,False,False,False,True,True,False,False,1.55,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,500,128,100,2,False,False,False,True,True,False,False,1.6,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,500,128,100,3,False,False,False,True,True,False,False,1.65,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,500,128,500,1,False,False,False,True,True,False,False,1.55,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,500,128,500,2,False,False,False,True,True,False,False,1.6,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,500,128,500,3,False,False,False,True,True,False,False,1.65,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,500,512,50,1,False,False,False,True,True,False,False,1.55,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,500,512,50,2,False,False,False,True,True,False,False,1.6,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,500,512,50,3,False,False,False,True,True,False,False,1.65,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,500,512,100,1,False,False,False,True,True,False,False,1.55,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,500,512,100,2,False,False,False,True,True,False,False,1.6,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
seq_mac,drop,500,512,100,3,False,False,False,True,True,False,False,1.65,1,128,0,seq_resync,1.0,drop detected by seq_mac model,sequence state resynchronized without memory recovery
